Dòng	Trạng thái sửa	Hướng sửa & kiểm chứng (DNS 04/09/2026)
17	ĐÃ SỬA	Hai việc: (1) chuẩn hoá tên khi ghép danh mục (coi "TMCP" = "Thương mại Cổ phần", bỏ phần trong ngoặc như "(SeABank)", bỏ tiền tố "Ngân hàng") — map được 10/12; (2) TỰ BỔ SUNG ngân hàng mà cổng đích CHƯA CÓ vào danh mục đích thay vì để trống — trước đây danh mục dùng chung chỉ ghép theo tên, ngân hàng nào chỉ cổng thành viên dùng thì nhân viên mất luôn ngân hàng. Chỉ chèn khi không đụng mã đã có ở đích. File: CompanyMigrationService.php (normalizeBankName + insertMissingSharedRows) + config/company_migration.php (banks: normalize_profile, insert_missing). KIỂM CHỨNG TRÊN GIAO DIỆN: danh mục ngân hàng từ 19 lên 21 dòng, đã có thêm "Ngân hàng TMCP Phương Đông" (OCB) và "Ngân hàng TMCP Quốc tế Việt Nam" (VIB); tài khoản ngân hàng của nhân viên ETEK GREEN: 3/4 có ngân hàng, dòng thứ 4 ở cổng cũ vốn không chọn ngân hàng nào (dữ liệu rác) nên không tính. Cách làm này áp dụng được cho mọi danh mục dùng chung khác khi cần.
21	ĐÃ SỬA (theo hướng TPE chốt 05/09)	Chốt với TPE: Ô LỌC (Công ty / Phòng ban / Bộ phận / Khối) GIỮ NGUYÊN như cũ — hiện đủ danh sách, vì tài khoản có quyền cấp TỔNG CÔNG TY thì phải chọn được mọi công ty. DNS đã thử lọc danh sách này rồi TRẢ LẠI theo yêu cầu. Việc chặn xem chéo công ty nằm ở TẦNG DỮ LIỆU: khi di trú, các quyền cấp "theo tổng công ty" của công ty gộp được hạ xuống "theo công ty" (ETEK GREEN: 4 quyền — chấm công chi tiết, dữ liệu chấm công, hồ sơ nhân sự, định biên theo quy mô), nên dù ô lọc có hiện tên công ty khác thì bấm vào cũng KHÔNG ra dữ liệu của họ. KIỂM CHỨNG: màn Bảng công chi tiết trong tháng — ô lọc hiện đủ 6 công ty, nhưng danh sách trả về 71 nhân sự và 100% thuộc ETEK GREEN. RIÊNG màn Danh mục công ty (chính là dòng 21 TPE báo, chốt J21 = Dùng riêng) VẪN lọc: admin ETEK GREEN chỉ thấy 1 công ty của mình. File: Modules/Human/Services/CompanyService.php + app/Helper/PermissionHelper.php (helper dùng chung). ⚠️ VIỆC TPE CẦN LÀM: nếu muốn một tài khoản của công ty thành viên xem được nhiều công ty thì cấp lại quyền cấp tổng công ty cho tài khoản đó sau khi gộp.
27	ĐÃ SỬA	Bổ sung ràng buộc xoá nhóm ngạch: ngoài kiểm nhóm chức vụ như cũ, kiểm thêm các ngạch con đang được gán cho nhân sự / định biên / chức vụ. File: Modules/Human/Services/RankService.php (isRankGroupUsed). KIỂM CHỨNG: gọi xoá nhóm ngạch đang dùng của ETEK GREEN → bị chặn, 6 nhóm còn nguyên.
28	ĐÃ SỬA	Hai lớp: (1) chặn ở máy chủ khi năng lực đang dùng ở ngạch, định biên, khung năng lực, lịch sử lương, báo lỗi rõ "Năng lực đang được sử dụng, không thể xóa."; (2) ẨN nút Sửa/Xoá ngoài danh sách — điều kiện cũ CHỈ kiểm định biên nên công ty vừa gộp (chưa khai định biên) vẫn hiện nút dù năng lực đang dùng ở ngạch lương; nay kiểm thêm ngạch lương, khung năng lực, lịch sử lương. File: CompetencyService.php + CompetencyController.php + Entities/CompetencyGroup.php (isCanEdit). KIỂM CHỨNG TRÊN GIAO DIỆN: màn Quản lý nhóm năng lực của ETEK GREEN, cả 6 dòng nay CHỈ CÒN nút Xem, không còn Sửa/Xoá.
30	ĐÃ SỬA	Hai lỗi khác nhau trên cùng màn: (1) NHÓM CHỨC VỤ map sai bảng — cột này thực chất trỏ NHÓM NGẠCH (đúng bảng màn hình đang đọc), đã sửa cấu hình và sắp lại thứ tự chuyển bảng để nhóm ngạch đi trước; (2) CẤP BẬC và P2-P3 MẤT TRẮNG — các dòng này ở cổng cũ có Người tạo = 0, engine hiểu nhầm 0 là khoá ngoại trỏ tới nhân viên id 0 nên coi cả bảng là mồ côi và loại sạch (P2-P3: 157 dòng → 0; Cấp bậc: 27 dòng → 0). MySQL không bao giờ cấp id 0 nên đã sửa để coi 0 là "không có". File: config/company_migration.php + CompanyMigrationService.php (selectOldIdsParent). KIỂM CHỨNG TRÊN GIAO DIỆN: màn Định biên theo quy mô của ETEK GREEN, 27/27 dòng đủ CẢ BA cột Nhóm chức vụ + Cấp bậc + P2-P3 (P2-P3: 157/157, Cấp bậc: 27/27 khớp cổng cũ).
34	ĐÃ SỬA	Thân nhân sang đủ 11/11. Phần ẢNH xử lý theo hướng TPE chốt 05/09: KHÔNG trỏ về cổng cũ nữa (vì cổng sẽ tắt sau khi gộp) mà TẢI ẢNH VỀ RỒI ĐẨY LÊN KHO ẢNH CHUNG (S3), ghi lại đường dẫn mới vào hồ sơ. Nguồn lấy file ưu tiên thư mục sao lưu của cổng cũ (MIGRATION_SOURCE_ASSET_DIR), không có thì tải qua mạng từ cổng cũ khi cổng còn chạy (MIGRATION_SOURCE_ASSET_URL). Chạy tự động trong lệnh gộp khi bật MIGRATION_UPLOAD_ASSETS_TO_S3=true, và có LỆNH RIÊNG `php artisan company:upload-assets --run=<nhãn>` để chạy lại cho công ty đã gộp trước đó hoặc chạy lại phần lỗi mạng. Chạy lại nhiều lần KHÔNG đẩy trùng (ảnh đã ở kho chung thì bỏ qua). Ảnh không lấy được thì GIỮ NGUYÊN và liệt kê ra để rà tay, không làm hỏng hồ sơ. File: app/Helper/CmcS3Helper.php (thêm putContents), CompanyMigrationService.php (uploadMigratedAssetsToS3), app/Console/Commands/CompanyUploadAssets.php, config/company_migration.php. KIỂM CHỨNG: chạy trên dữ liệu ETEK GREEN — 162 ô ảnh, 147 đã ở kho chung, 5 ảnh có file nguồn đã đẩy lên S3 thành công và hồ sơ nhân viên ghi đúng đường dẫn mới (đã tải lại từ S3 kiểm tra: HTTP 200); chạy lại lần 2 thì đẩy thêm 0 file. ⚠️ VIỆC TPE CẦN LÀM: cung cấp thư mục sao lưu ảnh của cổng ETEK GREEN (thư mục uploads), hoặc chạy bước này KHI CỔNG CŨ CÒN ĐANG CHẠY. Trên máy DNS chỉ có 5 file mẫu nên 17 ảnh còn lại báo không tải được — chạy với dữ liệu thật của TPE sẽ đủ.
37	KHÔNG SỬA — ĐÚNG CHỐT DÙNG CHUNG	DNS đã thử đưa 5 loại hợp đồng của ETEK GREEN sang, nhưng TRẢ LẠI như cũ sau khi kiểm: danh mục này TPE chốt DÙNG CHUNG, Tân Phát đã có 7 loại tương đương và màn không lọc theo công ty, nên thêm vào chỉ tạo 4 cặp TRÙNG TÊN trên cùng danh sách (12 dòng), trong khi KHÔNG bản ghi nào của ETEK GREEN tham chiếu tới (kiểm 6 bảng: quyết định HĐ, gia hạn, tạm hoãn, chấm dứt, tiếp nhận, nghỉ hưu — đều 0 dòng). Nếu TPE muốn đổi sang DÙNG RIÊNG thì phải làm 2 việc: đưa danh mục riêng sang VÀ lọc danh sách theo công ty — cần TPE chốt.
41	ĐÃ SỬA	Danh sách thông báo nội bộ mặc định chỉ lấy thông báo của các công ty người dùng quản lý (kể cả thông báo gửi theo danh sách công ty). File: Modules/Human/Services/SelfNotificationService.php. KIỂM CHỨNG: admin ETEK GREEN không còn đọc được 10 thông báo của Tân Phát; admin Tân Phát vẫn thấy đủ 10 thông báo của mình.
44	ĐÃ SỬA	Báo cáo bảng nhân sự theo định biên không còn lỗi máy chủ. Xử lý 2 việc: (1) không đọc chức vụ của công ty ngoài phạm vi quản lý thì vẫn giữ nguyên dòng, chỉ để trống tên (bỏ hẳn dòng sẽ làm lệch ô gộp và vỡ bảng); (2) bỏ qua nhóm không có chức vụ nào, vì màn đọc thẳng chức vụ đầu tiên của nhóm nên nhóm rỗng làm trắng trang. File: Modules/Human/Services/DepartmentManpowerService.php. KIỂM CHỨNG TRÊN GIAO DIỆN: màn hiển thị đủ 168 bản ghi, không còn lỗi máy chủ, không còn trắng trang (trước đó lỗi máy chủ).
45	KHÔNG SỬA — KHÔNG PHẢI LỖI	Đã tìm ra nguyên nhân "thừa 1 người": nhân viên Nguyễn Đức Anh kiêm nhiệm 2 phòng nên báo cáo đếm ở cả 2 dòng. Cổng cũ cũng vậy. Nếu TPE muốn mỗi người chỉ đếm 1 lần thì đây là yêu cầu SỬA CÁCH TÍNH BÁO CÁO, không liên quan gộp cổng — đề nghị TPE xác nhận có làm không.
