"UPDATE NỘI DUNG 03/09/2026","","","Task http://quanly.dnsmedia.vn/issues/10789","","","","",""
"Dự án tiền KT","Giảm giá báo giá","TC-ROLE-340","Quyền mới xuất hiện trong màn phân quyền","P0","Đăng nhập bằng tài khoản Quản trị.","1. Vào Cấu hình hệ thống → Phân quyền người dùng → mở một vai trò
2. Tìm nhóm quyền của phân hệ Quản lý báo giá","Vai trò: Nhân viên kinh doanh","- Có quyền mới tên đúng “Cho phép thêm giảm giá trong báo giá”
- Tích chọn và lưu vai trò thành công"
"","","TC-ROLE-341","Gán quyền cho một người và bỏ quyền của người khác","P0","Có 2 tài khoản kinh doanh: User A và User B, cùng lập được báo giá.","1. Gán quyền “Cho phép thêm giảm giá trong báo giá” cho User A
2. Bỏ quyền đó của User B
3. Lưu lại","User A: có quyền · User B: không có quyền","- Lưu thành công, danh sách quyền của từng người hiển thị đúng như vừa gán"
"","","TC-ROLE-342","Người CÓ quyền: ô GG mở và chọn được loại giảm giá","P0","Đăng nhập User A, mở màn Tạo mới báo giá.","1. Quan sát trường GG
2. Mở danh sách chọn loại giảm giá","User A","- Trường GG bật, chọn được
- Danh sách có đủ các loại giảm giá theo cấu hình"
"","","TC-ROLE-343","Người CÓ quyền: nhập giảm giá theo tổng hóa đơn","P0","User A đang ở màn Tạo mới báo giá, đã có ít nhất 2 dòng hàng.","1. Chọn loại giảm giá theo tổng hóa đơn
2. Nhập mức giảm
3. Bấm Lưu","Giảm giá tổng: 5%","- Hiện đúng ô nhập tương ứng loại vừa chọn
- Lưu thành công
- Tổng tiền sau giảm giá tính đúng theo mức vừa nhập"
"","","TC-ROLE-344","Người CÓ quyền: nhập giảm giá trên từng dòng hàng","P0","Như trên.","1. Chọn loại giảm giá theo mặt hàng
2. Nhập mức giảm cho dòng thứ nhất
3. Bấm Lưu","Dòng 1: giảm 10%","- Cột giảm giá của dòng cho nhập
- Lưu thành công
- Thành tiền của đúng dòng đó giảm theo, các dòng khác giữ nguyên"
"","","TC-ROLE-345","Người CÓ quyền: sửa lại mức giảm giá đã lưu","P1","Có báo giá do User A lập, đã có giảm giá tổng 5%.","1. Mở màn Cập nhật báo giá
2. Đổi mức giảm thành 8%
3. Lưu","Giảm giá tổng: 5% → 8%","- Lưu thành công, tổng tiền tính lại theo mức mới"
"","","TC-ROLE-346","Người KHÔNG có quyền: ô GG bị khóa và mặc định Không giảm giá","P0","Đăng nhập User B, mở màn Tạo mới báo giá.","1. Quan sát trường GG
2. Thử bấm vào ô","User B","- Trường GG bị khóa, không chọn được
- Giá trị hiển thị là “Không giảm giá”
- Không có ô nhập giảm giá tổng và không nhập được giảm giá trên dòng hàng"
"","","TC-ROLE-347","Người KHÔNG có quyền: mở báo giá cũ đang có giảm giá","P0","Có báo giá do User A lập, đang có giảm giá tổng 5%. Đăng nhập User B.","1. Mở màn Cập nhật báo giá đó
2. Quan sát phần giảm giá","Báo giá có giảm giá tổng 5%","- Vẫn nhìn thấy mức giảm giá đang có để biết số tiền
- Nhưng ô giảm giá bị khóa, không sửa được"
"","","TC-ROLE-348","Người KHÔNG có quyền: gọi thẳng chức năng lưu kèm giảm giá","P0","Đăng nhập User B; dùng công cụ kiểm thử để gọi thẳng chức năng lưu báo giá, bỏ qua giao diện.","1. Gửi yêu cầu lưu báo giá có mức giảm giá lớn hơn 0","Giảm giá tổng: 5%","- Hệ thống từ chối lưu
- Báo đúng thông báo “Bạn không có quyền áp dụng giảm giá trong báo giá”
- ⚠️ Báo giá KHÔNG được ghi vào hệ thống"
"","","TC-ROLE-349","Người KHÔNG có quyền: lưu báo giá không giảm giá","P0","Đăng nhập User B.","1. Lập báo giá bình thường, để GG là Không giảm giá
2. Bấm Lưu","Không giảm giá","- Lưu thành công như bình thường — ⚠️ quyền này chỉ chặn phần giảm giá, không chặn việc lập báo giá"
