		XIX. TỔNG HỢP GIÁ TRỊ BÁO GIÁ (báo giá độc lập)											
Báo giá	TỔNG HỢP GIÁ TRỊ BÁO GIÁ	TC_19.001	Bảng Tổng hợp giá trị báo giá hiển thị đủ cột và đủ 5 dòng nhóm	P0	BG-90 tự lập, trạng thái Đang tạo, có 2 hàng hoá + 1 dịch vụ + 1 chi phí, Loại GG = Không	1. Mở BG-90 → Sửa / Làm giá\n2. Cuộn tới khu vực 'Tổng hợp giá trị báo giá'\n3. Đối chiếu tiêu đề cột và các dòng	—	- Có tiêu đề khu vực 'Tổng hợp giá trị báo giá'\n- Cột: STT, Nhóm chi phí, Thành tiền nhập, Thành tiền trước VAT, Thuế VAT, Thành tiền sau VAT\n- Đủ 5 dòng: I Hàng hoá, II Dịch vụ, III Chi phí, IV Chi phí vận chuyển, V Tổng giá trị báo giá\n- Dòng V in đậm, cột Thành tiền sau VAT của dòng V có kèm mã tiền tệ (VD 'VNĐ')					
Báo giá		TC_19.002	2 cột giảm giá chỉ xuất hiện khi Loại GG khác 'Không'	P0	BG-90 như trên	1. Loại GG = Không GG → xem tiêu đề bảng\n2. Đổi Loại GG = GG mặt hàng → xem lại\n3. Đổi Loại GG = GG tổng → xem lại	Loại GG: Không / mặt hàng / tổng	- Bước 1: KHÔNG có cột 'Giảm giá' và 'Thành tiền sau GG (trước VAT)'\n- Bước 2 và 3: xuất hiện thêm đúng 2 cột đó, đặt giữa 'Thành tiền trước VAT' và 'Thuế VAT'\n- Số liệu các cột còn lại không đổi khi bật/tắt cột					
Báo giá		TC_19.003	Dòng I Hàng hoá cộng đúng toàn bộ dòng hàng hoá	P0	BG-90 có 2 dòng hàng hoá: A (1.000.000 x 2, VAT 10%), B (500.000 x 1, VAT 8%)	1. Nhập số liệu 2 dòng như trên\n2. Đọc dòng I của bảng tổng hợp	A: 1.000.000x2 VAT10% · B: 500.000x1 VAT8%	- Thành tiền trước VAT (dòng I) = 2.500.000\n- Thuế VAT (dòng I) = 200.000 + 40.000 = 240.000\n- Thành tiền sau VAT (dòng I) = 2.740.000					
Báo giá		TC_19.004	Tách nhóm Dịch vụ (II) và Chi phí (III) theo cờ 'Có tính doanh thu'	P0	BG-90 có 2 dòng ở khối Dịch vụ & Chi phí khác: DV1 có tính doanh thu = Có; CP1 có tính doanh thu = Không	1. Thêm DV1 (2.000.000, tính doanh thu = Có) và CP1 (1.000.000, tính doanh thu = Không)\n2. Đọc dòng II và dòng III	DV1 = 2.000.000 · CP1 = 1.000.000	- Dòng II Dịch vụ = 2.000.000 (chỉ DV1)\n- Dòng III Chi phí = 1.000.000 (chỉ CP1)\n- Không dòng nào bị đếm ở cả 2 nhóm					
Báo giá		TC_19.005	Dòng IV Chi phí vận chuyển — nhập giá nhập và giá bán vận chuyển	P0	BG-90 Đang tạo, người đăng nhập là người tạo	1. Tại dòng IV nhập Thành tiền nhập (giá vốn VC) = 4.000.000\n2. Nhập Thành tiền trước VAT (giá bán VC) = 5.000.000\n3. Lưu nháp rồi tải lại trang	VC: nhập 4.000.000 / bán 5.000.000	- 2 ô nhập được trực tiếp trên dòng IV\n- Sau Lưu + tải lại: giữ đúng 4.000.000 và 5.000.000\n- Dòng V cộng thêm phần vận chuyển ở cả cột nhập lẫn cột bán					
Báo giá		TC_19.006	VAT chi phí vận chuyển cố định 8% và bị khoá	P0	BG-90 có chi phí vận chuyển 5.000.000	1. Bấm vào ô VAT (%) của dòng IV, thử gõ 10\n2. Thử gõ vào ô tiền VAT của dòng IV\n3. Đọc lại Thành tiền sau VAT dòng IV	VAT VC mặc định 8%	- Cả ô % và ô tiền VAT của dòng IV đều bị khoá, không sửa được\n- VAT giữ nguyên 8% → tiền VAT = 400.000\n- Thành tiền sau VAT dòng IV = 5.400.000					
Báo giá		TC_19.007	Giảm giá vận chuyển khi Loại GG = GG mặt hàng	P1	BG-90 Loại GG = GG mặt hàng, chi phí vận chuyển bán = 5.000.000	1. Tại dòng IV nhập GG = 10%\n2. Xoá và nhập trực tiếp GG = 500.000\n3. Nhập GG = 6.000.000 (lớn hơn chi phí vận chuyển) rồi bấm Gửi duyệt	GG VC: 10% / 500.000 / 6.000.000	- Bước 1: ô tiền GG tự tính = 500.000\n- Bước 2: nhận đúng 500.000, cột 'Thành tiền sau GG (trước VAT)' của dòng IV = 4.500.000\n- Bước 3: bị chặn, hiện lỗi ngay dưới ô: 'GG vận chuyển không được lớn hơn chi phí'					
Báo giá		TC_19.008	Phân bổ giảm giá cho vận chuyển khi Loại GG = GG tổng	P1	BG-90 Loại GG = GG tổng	1. Khi chưa có khoản GG tổng nào (Tổng GG = 0) → xem ô GG của dòng IV\n2. Thêm khoản GG tổng 12.000.000 → nhập phân bổ cho dòng IV = 1.000.000\n3. Đọc cột Thành tiền sau GG của dòng IV	Tổng GG = 12.000.000 · phân bổ VC = 1.000.000	- Bước 1: ô phân bổ GG của dòng IV bị khoá (không nhập được khi Tổng GG = 0)\n- Bước 2: nhập được sau khi đã có khoản GG\n- Bước 3: Thành tiền sau GG dòng IV = 5.000.000 − 1.000.000 = 4.000.000					
Báo giá		TC_19.009	Giá nhập / chi phí vận chuyển âm bị chặn khi gửi duyệt	P1	BG-90 Đang tạo, đã đủ điều kiện khác để gửi duyệt	1. Nhập Thành tiền nhập dòng IV = -1.000 → Gửi duyệt\n2. Sửa lại về 0, nhập Thành tiền trước VAT dòng IV = -5.000 → Gửi duyệt	VC âm	- Bước 1: bị chặn, lỗi inline dưới ô: 'Giá nhập không hợp lệ'\n- Bước 2: bị chặn, lỗi inline: 'Chi phí vận chuyển không hợp lệ'\n- Trạng thái vẫn Đang tạo, màn hình tự cuộn tới ô lỗi đầu tiên					
