Dòng	Chức năng	Nhận xét DNS 04/09/2026 (chạy lại + test giao diện, company_id mới = 9)
13	Danh mục quốc gia	OK — dùng chung, không lỗi.
14	Danh mục khu vực	OK — dùng chung, không lỗi.
15	Danh mục tỉnh/TP	OK — dùng chung, không lỗi.
16	Danh mục phường/xã	OK — dùng chung, không lỗi.
17	Danh mục ngân hàng	CÒN LỖI. Chỉ 5/12 ngân hàng EG ghép được sang TPE do hai bên viết khác nhau ("TMCP Quân đội" vs "Thương mại Cổ phần Quân đội") và mã khác quy ước (EG: VCB/ICB — TPE: VIETCOMBANK); ngoài ra 2 ngân hàng EG dùng mà TPE chưa có (Phương Đông, Quốc tế VIB) thì danh mục dùng chung KHÔNG tự bổ sung. Hệ quả đo được: 2/4 tài khoản ngân hàng của NV EG mất ngân hàng.
19	Sơ đồ cơ cấu tổ chức	Dữ liệu tổ chức sang đủ (14 phòng ban, 45 bộ phận, đúng công ty 9). Việc công ty thành viên có sơ đồ riêng là quyết định nghiệp vụ, chờ chốt.
20	Sơ đồ tổ chức	Chưa xử lý — chưa có chức năng nên chưa test được. Nằm ngoài phạm vi engine di trú.
21	Danh mục công ty	CÒN LỖI (lỗi app) ở màn Danh mục công ty: admin ETEK GREEN thấy đủ 9/9 công ty. Ngoài ra ô lọc Công ty/Phòng ban/Bộ phận trên các màn khác cũng hiện đủ mọi công ty — nhưng phần này TPE chốt GIỮ NGUYÊN (ai có quyền tổng công ty thì phải hiện hết), việc chặn xem chéo xử lý bằng phân quyền chứ không cắt danh sách ô lọc.

22	Danh mục khối	OK — sang đủ, gắn đúng công ty 9.
23	Danh mục phòng ban	OK — 14/14, không lệch công ty.
24	Danh mục bộ phận	OK — 45/45. Lưu ý: 7 bộ phận mất trưởng bộ phận vì người phụ trách cũ là tài khoản DNS Admin (bị loại theo skip_emails). TPE gán lại giúp.
25	Danh mục chức vụ	OK — 5 nhóm chức vụ + 10 chức vụ sang đủ.
26	Danh mục chức danh	OK — 67 chức danh sang đủ (6 bản ghi bị thêm hậu tố "(ETEK GREEN)" do trùng tên với TPE — xem dòng 21 phần tên công ty).
27	Danh mục ngạch lương/nhóm cấp bậc	CÒN LỖI (đã đo lại kỹ). Dữ liệu 6 ngạch + 6 nhóm ngạch sang đủ, nhưng lỗi TPE báo là "sửa/xóa được dù đang dùng" — kiểm code thì hàm xoá chỉ set trạng thái, KHÔNG kiểm tra danh mục có đang được dùng hay không. Lỗi còn nguyên, sẽ bổ sung ràng buộc xoá.
28	Danh mục năng lực	CÒN LỖI. 53 năng lực + 6 nhóm sang đủ, nhưng CompetencyService::delete() không có bất kỳ ràng buộc nào (chỉ set status=0) nên vẫn xoá được năng lực đang dùng. Sẽ bổ sung ràng buộc, cùng nhóm với dòng 27.
29	Danh mục nhiệm vụ	OK — 50 nhiệm vụ sang đủ.
30	Định biên theo quy mô	CÒN LỖI — NẶNG NHẤT, lỗi của engine di trú. Mở màn Bảng định biên theo quy mô của EG: 26/29 dòng cột "Nhóm chức vụ" TRỐNG, 6 dòng hiện "LÃNH ĐẠO." là nhóm ngạch của TPE. Nguyên nhân: cột working_position_group_id thực chất trỏ bảng rank_groups (app join đúng vậy) nhưng catalog di trú khai map sang working_position_groups. DNS sẽ sửa cấu hình rồi chạy lại bổ sung cho công ty đã di trú.
31	Quản lý phân công nhiệm vụ	Dữ liệu sang đủ (50 nhiệm vụ + 54 nhiệm vụ theo phòng). Phần nhóm chức vụ hiển thị sai chung gốc với dòng 30.
33	Danh mục hồ sơ nhân sự	OK — 125/126 hồ sơ (thiếu đúng 1 là tài khoản DNS Admin, cố ý bỏ).
34	Quản lý thân nhân	CÒN LỖI PHẦN ẢNH (đã dựng lại được). Thân nhân sang đủ 11/11. Nhưng mở hồ sơ NV EG (Phan Thị Hoa) thì ảnh chân dung KHÔNG tải được: đường dẫn là /uploads/... trên server ETEK GREEN cũ, mở trên cổng Tân Phát sẽ hỏng. Toàn công ty có 22/125 NV bị vậy + 4 bản ghi ảnh CCCD (Tân Phát thì 791/791 đều là đường dẫn đầy đủ). Việc 1 NV đổi phòng là thao tác sau gộp, không phải lỗi di trú.

35	Danh mục tài khoản nhân viên	OK — 124/124 NV có mật khẩu, đăng nhập thật thành công; mã NV và email không trùng toàn hệ thống.
36	Danh sách nhân viên nghỉ việc	OK — 54 NV nghỉ việc sang đủ.
37	Danh mục hợp đồng lao động	KHÔNG PHẢI LỖI (đã kiểm kỹ). 5 loại HĐ ở cổng cũ không được đưa sang, nhưng đúng chốt Dùng chung: Tân Phát đã có 7 loại tương đương và không bản ghi nào của ETEK GREEN tham chiếu tới. DNS đã thử đưa sang rồi trả lại vì gây trùng tên trên danh sách.
38	Danh mục phụ cấp	KHÔNG PHẢI LỖI. Bảng phụ cấp ở nguồn EG rỗng (0 dòng) — không có gì để gộp, EG dùng chung của TPE.
39	Danh sách hồ sơ tự khai	OK — đúng chốt dữ liệu cũ không gộp.
41	Quản lý thông báo nội bộ	CÒN LỖI (lỗi app, đã dựng lại). Đăng nhập admin ETEK GREEN vẫn đọc được 10 thông báo nội bộ của TPE (vd "Thông báo nghỉ lễ 02.09.2026"). SelfNotificationService::index() chỉ lọc công ty khi người dùng tự chọn filter, không gate mặc định. Sửa cùng nhóm dòng 21/65/66/81/103.
42	Thông báo nội bộ	ĐÚNG THIẾT KẾ. 4 thông báo của EG nằm trong danh sách không gộp, theo chốt "dữ liệu cũ không gộp".
43	Danh sách phòng ban	OK — ID phòng ban và NV đều cấp mới và dịch khoá ngoại, không dùng lại id nguồn.
44	Bảng nhân sự theo định biên	CÒN LỖI (đã dựng lại). Mở màn ra "Tổng số bản ghi: 0" kèm "Lỗi máy chủ. Vui lòng thử lại sau." Log lỗi: DepartmentManpowerService.php:228. Nguyên nhân: sau gộp cổng, báo cáo duyệt qua định biên của nhiều công ty, gặp định biên ngoài phạm vi quản lý thì quan hệ chức vụ trả rỗng → lỗi 500. Trước khi gộp DB chỉ 1 công ty nên không bao giờ lỗi. DNS sẽ lọc công ty + chặn lỗi khi quan hệ rỗng.
45	Bảng nhân sự và quỹ lương	KHÔNG PHẢI LỖI DI TRÚ (đã tìm ra nguyên nhân). Báo cáo ra 72 NV trong khi công ty có 71 NV: NV Nguyễn Đức Anh kiêm nhiệm 2 phòng nên bị đếm 2 lần. Đây là cách báo cáo vốn hoạt động, ở cổng EG cũ cũng vậy. Nếu TPE muốn đếm 1 lần thì đây là yêu cầu sửa báo cáo, không phải lỗi gộp cổng.
46	Cập nhật tình hình nhân sự	OK — số liệu khớp nguồn.
47	Bảo hiểm theo tháng	OK.
48	Bảo hiểm theo năm	OK.
